TOP SELLERS,GENRE,TAGS
Baldur's Gate,"Adventure, RPG, Strategy","RPG, Choices Matter, Story Rich, Character Customization, Turn-Based Combat, Dungeons & Dragons, Adventure, CRPG, Fantasy, Online Co-Op, Multiplayer, Romance, Strategy, Singleplayer, Co-op Campaign, Class-Based, Sexual Content, Dark Fantasy, Combat, Controller"
EA SPORTS FC™ 24,"Simulation, Sports","Football (Soccer), Sports, Controller, PvP, Multiplayer, eSports, Competitive, PvE, 3D, Simulation, First-Person, Local Multiplayer, Co-op, Realistic, Online Co-Op, Action, Local Co-Op, Singleplayer, Family Friendly, Early Access"
Call of Duty®,Action,"FPS, Multiplayer, Shooter, Action, Singleplayer, Military, First-Person, War, Modern, Tactical, Violent, Co-op, Realistic, Story Rich, Atmospheric, Mature, Online Co-Op, Gore, Third-Person Shooter, Third Person"
ELDEN RING,"Action, RPG","Souls-like, Dark Fantasy, Open World, RPG, Difficult, Action RPG, Third Person, Multiplayer, Fantasy, Singleplayer, Online Co-Op, Action, Co-op, PvP, Atmospheric, Violent, Great Soundtrack, 3D, Character Customization, Family Friendly"
Red Dead Redemption 2,"Action, Adventure","Open World, Story Rich, Western, Adventure, Multiplayer, Action, Realistic, Singleplayer, Shooter, Atmospheric, Horses, Beautiful, Mature, Third-Person Shooter, Great Soundtrack, Third Person, Gore, Sandbox, First-Person, FPS"
Counter-Strike 2,"Action, Free to Play","FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable"
Grand Theft Auto V,"Action, Adventure","Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Mature, Shooter, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Sandbox, Atmospheric, Funny, Great Soundtrack, Comedy, Moddable"
Lethal Company,"Action, Adventure, Indie, Early Access","Online Co-Op, Horror, First-Person, Co-op, Psychological Horror, Exploration, Survival Horror, Sci-fi, PvE, Procedural Generation, Atmospheric, Aliens, Time Management, Funny, Adventure, Dungeon Crawler, Action, Action-Adventure, Early Access, Perma Death"
Cyberpunk 2077,RPG,"Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci-fi, Futuristic, FPS, Mature, Story Rich, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim"
God of War,"Action, Adventure, RPG","Action, Singleplayer, Story Rich, Adventure, Mythology, Third Person, Combat, RPG, Violent, Hack and Slash, Fantasy, Open World, Exploration, Atmospheric, Gore, Action RPG, Emotional, Souls-like, 3D, PvE"
